"campus","method","survey_year","site","latitude","longitude","MPA_Name","mpa_type","site_status"
"UCSC","SBTL_FISH_PISCO",1999,"HOPKINS_DC",36.623586,-121.904196,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",1999,"HOPKINS_UC",36.621649,-121.900789,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",1999,"MACABEE_UC",36.617148,-121.895695,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_FISH_PISCO",1999,"MACABEE_DC",36.618184,-121.896835,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_FISH_PISCO",1999,"STILLWATER_DC",36.559729,-121.944014,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_FISH_PISCO",1999,"STILLWATER_UC",36.560116,-121.94732,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_FISH_PISCO",1999,"SANDHILL_UC",36.974306,-122.152109,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_FISH_PISCO",1999,"SANDHILL_DC",36.97293,-122.149429,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_FISH_PISCO",1999,"MONASTERY_UC",36.525267,-121.930507,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",1999,"MONASTERY_DC",36.525415,-121.933322,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",1999,"BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",1999,"BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",1999,"PT_SUR_UC",36.291239,-121.898882,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",1999,"PT_SUR_DC",36.28307,-121.893321,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"TERRACE_UC",36.944908,-122.066281,"Natural Bridges SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"TERRACE_DC",36.944871,-122.064289,"Natural Bridges SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"HOPKINS_DC",36.623586,-121.904196,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"HOPKINS_UC",36.621649,-121.900789,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"MACABEE_UC",36.617148,-121.895695,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_FISH_PISCO",2000,"MACABEE_DC",36.618184,-121.896835,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_FISH_PISCO",2000,"STILLWATER_DC",36.559729,-121.944014,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"STILLWATER_UC",36.560116,-121.94732,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"MONASTERY_DC",36.525415,-121.933322,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"MONASTERY_UC",36.525267,-121.930507,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2000,"SANDHILL_UC",36.974306,-122.152109,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_FISH_PISCO",2000,"SANDHILL_DC",36.97293,-122.149429,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_FISH_PISCO",2001,"BIG_CREEK_DC",36.069079,-121.605115,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2001,"BIG_CREEK_UC",36.069152,-121.60804,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_FISH_PISCO",2001,"LOPEZ_UC",36.02901,-121.581676,"Big Creek SMR","SMR","reference"
