method,year,month,day,site,zone,transect,classcode,count,size,depth,latitude,longitude,MPA_Name,mpa_type,site_status
SBTL_SWATH_PISCO,2024,7,4,PINOS,INNER,2,LAMSETAD,4,,4.9,36.640454,-121.928734,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,PINOS,INNER,2,NERLUE,1,,4.9,36.640454,-121.928734,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,1,LAMREC,1,,5.3,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,1,MACPYRAD,1,1.0,5.3,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,1,MACPYRAD,3,2.0,5.3,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,1,MACPYRAD,1,3.0,5.3,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,1,MACPYRAD,1,4.0,5.3,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,1,MACPYRAD,1,5.0,5.3,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,1,MACPYRAD,1,6.0,5.3,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,1,MACPYRJUV,3,,5.3,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,1,MACPYRREC,7,,5.3,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,2,MACPYRAD,3,1.0,6.7,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,2,MACPYRAD,1,2.0,6.7,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,2,MACPYRAD,1,9.0,6.7,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,2,MACPYRAD,1,16.0,6.7,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,2,MACPYRAD,1,18.0,6.7,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,2,MACPYRJUV,11,,6.7,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,2,MACPYRREC,5,,6.7,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
SBTL_SWATH_PISCO,2024,7,4,SIREN,INNER,2,STEOSMAD,3,,6.7,36.630733,-121.91859,Lovers Point - Julia Platt SMR,SMR,reference
